Протокол,Проверенное утверждение,Источник,Проблема,Исправление,Статус
pyometra_discharge.json,"/management_principles/1: Хирургическое лечение часто является основным методом, особенно при системном заболевании или закрытой форме.",ACVS — Pyometra https://www.acvs.org/small-animal/pyometra/; Treatment,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
pyometra_discharge.json,/management_principles/3: Отсутствие выделений не снижает риск закрытой пиометры.,ACVS — Pyometra https://www.acvs.org/small-animal/pyometra/; Signs and symptoms,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
renal_proteinuria.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
reproduction_core_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
rhinoscopy_otoscopy_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
rodenticide_poisoning.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
sarcoptic_mange.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
seizures_first_episode.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
sepsis_sirs.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
shock_resuscitation.json,"/management_principles/1: Жидкостная терапия титруется небольшими болюсами с переоценкой, особенно при риске сердечной недостаточности",AAHA 2024 Fluid Therapy — Section 5: Fluid Therapy in Ill Patients https://www.aaha.org/resources/2024-aaha-fluid-therapy-guidelines-for-dogs-and-cats/section-5-fluid-therapy-in-ill-patients/; AAHA 2024 Fluid Therapy — Section 6: Fluid Overload https://www.aaha.org/resources/2024-aaha-fluid-therapy-guidelines-for-dogs-and-cats/section-6-fluid-overload/; Heart Disease; Thermoregulation Disturbances; Recognizing and Managing Fluid Overload,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
soft_tissue_surgery_procedures_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
status_epilepticus_cluster_seizures.json,/do_not_do/0: Не ждать 20–30 минут продолжающихся судорог перед эскалацией.,"Charalambous et al. ACVIM consensus: status epilepticus and cluster seizures, JVIM 38:19–40 https://onlinelibrary.wiley.com/doi/10.1111/jvim.16928; Definition of status epilepticus",Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
surgery_advanced_catalog_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
surgery_procedures_owner_guide_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
surgical_emergencies_core_v1.json,"/management_principles/0: GDV: реанимация, аналгезия, декомпрессия и хирургическая коррекция/гастропексия",ACVS — Gastric Dilatation-Volvulus https://www.acvs.org/small-animal/gastric-dilatation-volvulus/; Treatment,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
surgical_emergencies_core_v1.json,/do_not_do/1: Не считать массу селезёнки автоматически гемангиосаркомой без гистологии,ACVS — Splenic Masses https://www.acvs.org/small-animal/splenic-masses/; Diagnostics,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
surgical_wound_reconstruction_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
systemic_hypertension.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
thrombocytopenia_coagulopathy.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
thrombosis_antithrombotic.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
toxicology_core_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
toxoplasmosis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
traumatic_brain_injury.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
urinary_obstruction.json,/management_principles/0: У кошки подтверждённая уретральная обструкция требует экстренной помощи и восстановления оттока мочи.,ACVS — Urinary Obstruction in Male Cats https://www.acvs.org/small-animal/urinary-obstruction-in-male-cats/; Treatment,Не было привязки источника к конкретному утверждению.,Уточнена область подтверждения: экстренное устранение обструкции у кошек; метаболическая коррекция требует отдельной проверки.,supported (только это утверждение)
urinary_signs.json,/management_principles/0: Уретральная обструкция у кота — неотложное состояние; домашнее наблюдение недопустимо.,ACVS — Urinary Obstruction in Male Cats https://www.acvs.org/small-animal/urinary-obstruction-in-male-cats/; Treatment,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
urinary_tract_infection.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
urolithiasis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
vestibular_syndrome.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
vomiting.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
weight_loss.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
